Nombre del Producto,Enlace del PDF
01_Alicate_de_corte.pdf,https://drive.google.com/file/d/1JQ9neDsjKGwNuU_9qOXVFAOQXhxc0w2g/view?usp=drivesdk
02_Alicate_de_punta.pdf,https://drive.google.com/file/d/1SbShRHVA1EazJTF7sKQ_h_mZlY9wYBB7/view?usp=drivesdk
03_Alicate_de_punta_curva.pdf,https://drive.google.com/file/d/1tUQTc4I3pcMoD63Mk-BRNMUQUhy7nvbl/view?usp=drivesdk
04_Alicate_pelacables.pdf,https://drive.google.com/file/d/1y1D-cVeJAvF1-nSv_MpBrEVlTt27Xu-G/view?usp=drivesdk
05_Alicate_universal.pdf,https://drive.google.com/file/d/1avcQaAeXeeIcip58IAIgjunsWlRiYTxy/view?usp=drivesdk
06_Calibrador_AWG.pdf,https://drive.google.com/file/d/1JGq2zkAXD9eHMux3YBUDRWghcFv5znY7/view?usp=drivesdk
07_Calibrador_digital.pdf,https://drive.google.com/file/d/1ubs_PZmDq_9jRKvfKvvlujvfgq0kUpMq/view?usp=drivesdk
08_Cuter.pdf,https://drive.google.com/file/d/1J42HbWPVZUjeFSC9YsakAG05c6Vb5hqR/view?usp=drivesdk
09_Juego_de_destornilladores.pdf,https://drive.google.com/file/d/1_RIxYd6PNpKltO-sEL8-MPNQ5D3twKLf/view?usp=drivesdk
10_Juego_destornilladores_precision.pdf,https://drive.google.com/file/d/1MPo1xu_j6Lob9K2LldLmf61cyITmKnPl/view?usp=drivesdk
11_Juego_llaves_Allen.pdf,https://drive.google.com/file/d/1GQIs1nlk9DZ1MYvkxIbVlRngUisomYVe/view?usp=drivesdk
12_Juego_mini_alicates.pdf,https://drive.google.com/file/d/1122pD-6Qn4Ip8J1RO-ronQe_pMNAGVaL/view?usp=drivesdk
13_Juego_de_pinzas.pdf,https://drive.google.com/file/d/11l-RhZYQV9bwML4WdEEmNWm-wYDjiFXm/view?usp=drivesdk
14_Llave_ajustable.pdf,https://drive.google.com/file/d/1-psIXXfNdVLd6l5Ic2JQxTP9kJJMCqTO/view?usp=drivesdk
15_Lupas_con_iluminacion.pdf,https://drive.google.com/file/d/14UtoM9UtMYAFtdSM9gAghuscMwyR9jHI/view?usp=drivesdk
16_Tapete_y_sujetador.pdf,https://drive.google.com/file/d/1pbrA8XqkTdrsTX0QWqvOyG5S0i8U0T30/view?usp=drivesdk
17_Tornillo_de_banco.pdf,https://drive.google.com/file/d/1bZfHbgWbnTFcl-ECOJ3MALwnL0jDzF1i/view?usp=drivesdk
18_Armario_de_metal.pdf,https://drive.google.com/file/d/1rMpa3BkiqcIvmooNtULPiQI47O2I1t6U/view?usp=drivesdk
19_Escritorio_docente.pdf,https://drive.google.com/file/d/11sajmqqmmT5alekXwOPJKFRcY5KYgeDp/view?usp=drivesdk
20_Mesa_computadora_estudiante.pdf,https://drive.google.com/file/d/1j5iMUoUy96Hs9JbW_xF2I_556OciqW04/view?usp=drivesdk
21_Mesa_electronica_cajones.pdf,https://drive.google.com/file/d/1EfWnw8d8Cpl70T_7fyScYbDLahSs7fHw/view?usp=drivesdk
22_Mesa_electronica_encimera.pdf,https://drive.google.com/file/d/1BjvpwmOXBWvmA2F9Z6aO0-NNc0hVgOfN/view?usp=drivesdk
23_Mesa_discapacitado.pdf,https://drive.google.com/file/d/11F18YZMmNizqmGGrtu-iENlSz9iPpSn7/view?usp=drivesdk
24_Mueble_bajo.pdf,https://drive.google.com/file/d/1QfTdfqk-rAuALcyYhOcs5nFMzxei2g_D/view?usp=drivesdk
25_Silla_docente.pdf,https://drive.google.com/file/d/1r2Jl4rDcr1_z1VIHvaZYRAvMUh0cNMYv/view?usp=drivesdk
26_Silla_estudiante.pdf,https://drive.google.com/file/d/1ycs1sJEnCz8MiIXdO6CPXCOrfKOGhyus/view?usp=drivesdk
27_Fichas_senaletica.pdf,https://drive.google.com/file/d/1Ac9iDLgtOTkne7MH1jy9NgWamABxIiUM/view?usp=drivesdk
28_Lienzo_metodologias_diseno.pdf,https://drive.google.com/file/d/1OqOSWE1AYYXV1HI4Tj_xyXyHMdeHfuG2/view?usp=drivesdk
29_Lienzo_flujogramas_DOP_DAP.pdf,https://drive.google.com/file/d/1bdd_XH-vpF0nx0lrb9AVxp3RzXh8oXQw/view?usp=drivesdk
30_Lienzo_modelos_negocios.pdf,https://drive.google.com/file/d/1IQWo3ZYgQqGiJVQiLIS-r4qlI-NYUSZT/view?usp=drivesdk
31_Botiquin.pdf,https://drive.google.com/file/d/1uektd9qSkUwaXijOfhyuOXGsGXEKWtQS/view?usp=drivesdk
32_Extintor_CO2.pdf,https://drive.google.com/file/d/1JFpUQHWYKa1j_vEDP0pZzQNr12pTg7sD/view?usp=drivesdk
33_Extintor_PQS.pdf,https://drive.google.com/file/d/1ZfawBdyGNOTrL72Yu9I0XRcATr0INxpX/view?usp=drivesdk
34_Guantes_electricista.pdf,https://drive.google.com/file/d/1_Gt_oQnOY-h6Yf3C18EVF-BC-irLlbnE/view?usp=drivesdk
RELACIÓN,https://docs.google.com/spreadsheets/d/1TMotUOHqZIWEqG_iwYEc9YlcBCSPOtgCYUQUo_bSSKs/edit?usp=drivesdk
